<DECISION_TABLE>                   |                     |                              |                               |                                    | OK_login | E_emailEmpty | E_emailNoAt | E_emailTooLong | E_passwordEmpty | E_passwordTooShort | E_unknownUser | E_lockedUser
Execute                            | ExecuteSection      |                              |                               |                                    | T        | T            | T           | T              | T               | T                  | T             | T
Multiplicity                       | MultiplicitySection |                              |                               |                                    | 1        | 1            | 1           | 1              | 1               | 1                  | 1             | 1
Secondary data — what must already exist | FieldSection        |                              |                               |                                    |          |              |             |                |                 |                    |               |
account                            | FieldSubSection     |                              |                               |                                    |          |              |             |                |                 |                    |               |
                                   |                     | exists, active               | active                        | the normal world                   | x        | x            | x           | x              | x               | x                  |               |
                                   |                     | does not exist               | absent                        | nobody registered that             |          |              |             |                |                 |                    | x             |
                                   |                     | locked                       | locked                        | too many failed attempts           |          |              |             |                |                 |                    |               | x
Primary data — the login form      | FieldSection        |                              |                               |                                    |          |              |             |                |                 |                    |               |
email                              | FieldSubSection     |                              |                               |                                    |          |              |             |                |                 |                    |               |
                                   |                     | valid                        | gen:1:faker:internet.email    |                                    | x        |              |             |                | a               | a                  | x             | x
                                   |                     | empty                        |                               | min(1)                             |          | x            |             |                |                 |                    |               |
                                   |                     | no @                         | torsten.link                  | format                             |          |              | x           |                |                 |                    |               |
                                   |                     | too long                     | gen::len:255                  | max(254) RFC 5321                  |          |              |             | x              |                 |                    |               |
password                           | FieldSubSection     |                              |                               |                                    |          |              |             |                |                 |                    |               |
                                   |                     | valid                        | gen:1:faker:internet.password |                                    | x        | a            | a           | a              |                 |                    | x             | x
                                   |                     | empty                        |                               | min(1)                             |          |              |             |                | x               |                    |               |
                                   |                     | too short                    | ab                            | min(8)                             |          |              |             |                |                 | x                  |               |
Summary                            | SummarySection      |                              |                               |                                    |          |              |             |                |                 |                    |               |
Expected reaction                  | MultiRowSection     |                              |                               |                                    |          |              |             |                |                 |                    |               |
                                   |                     | signed in                    |                               | session cookie is set              | x        |              |             |                |                 |                    |               |
                                   |                     | rejected                     |                               | with a message                     |          | x            | x           | x              | x               | x                  | x             | x
Expected effect                    | MultiRowSection     |                              |                               |                                    |          |              |             |                |                 |                    |               |
                                   |                     | failed-attempt counter rises |                               | SOLL: only for a real account with a wrong password — not for an unknown one | e        |              |             |                |                 | x                  | e             |
<END>                              |                     |                              |                               |                                    |          |              |             |                |                 |                    |               |
